"Year","NUTS2","NUTS0","GDP_MIO_EUR","TotPopNr","Area"
2013,"DK01","DK",101273.641851107,1732068,1511.26177254945
2014,"DK05","DK",22925.8517034068,581057,6932.463093948
2014,"DK04","DK",53782.5651302605,1277538,12969.3111955754
2014,"DK03","DK",51576.1523046092,1202509,10629.8306124739
2014,"DK02","DK",26035.0701402806,816726,6836.32063949154
2014,"DK01","DK",105666.332665331,1749405,1511.26177254945
2015,"DK03","DK",52064,1205728,10629.8306124739
2015,"DK04","DK",54388,1282750,12969.3111955754
2015,"DK01","DK",110331,1768125,1511.26177254945
2015,"DK05","DK",23281,582632,6932.463093948
2015,"DK02","DK",27308,820480,6836.32063949154
2016,"DK02","DK",28166,827499,6836.32063949154
2016,"DK04","DK",56526,1293309,12969.3111955754
2016,"DK01","DK",111818,1789174,1511.26177254945
2016,"DK03","DK",53514,1211770,10629.8306124739
2016,"DK05","DK",23765,585499,6932.463093948
2010,"HU10","HU",54219.2913825863,2951436,7238.17286584877
2010,"HU22","HU",10895.2721582653,996390,10626.4660458694
2010,"HU33","HU",9407.62266681569,1318214,18549.3514278636
2010,"HU21","HU",10492.9026489326,1098654,11588.7872907828
2010,"HU23","HU",7045.93718564882,947986,14348.2255814246
2010,"HU32","HU",10414.664133229,1492502,17458.4221620322
2010,"HU31","HU",7982.56398792892,1209142,13095.4726481548
2011,"HU32","HU",10466.7670466767,1481922,17458.4221620322
2011,"HU31","HU",7822.11228221123,1194697,13095.4726481548
2011,"HU21","HU",10570.0150570015,1094104,11588.7872907828
2011,"HU10","HU",52647.8812647881,2971246,7238.17286584877
2011,"HU33","HU",9542.91245429125,1308470,18549.3514278636
