"Year","NUTS2","NUTS0","GDP_MIO_EUR","TotPopNr","Area"
2016,"BE34","BE",6583.47253611084,283257,4451.87722015644
2016,"BE21","BE",79572.5655890734,1828927,2928.49909769532
2016,"BE23","BE",51119.1903311388,1489084,2959.06356098751
2016,"BE10","BE",74573.056892994,1201285,23.5631662029285
2016,"BE22","BE",26243.490223052,866970,2398.54574054024
2016,"BE24","BE",44710.6219907635,1122600,2188.87480163989
2016,"BE33","BE",29166.7485506534,1103490,4073.28086749265
2016,"BE35","BE",12496.8065245161,492074,3499.82631944852
2010,"CZ01","CZ",43483.8012958963,1227932,235.633988113052
2010,"CZ03","CZ",17142.5485961123,1205834,17250.8520221712
2010,"CZ07","CZ",15762.4190064795,1229931,8978.81385405196
2010,"CZ02","CZ",17958.9632829374,1247330,11455.3709351107
2010,"CZ04","CZ",14232.181425486,1133425,8397.73887353264
2010,"CZ08","CZ",16604.7516198704,1239176,5555.11515130523
2010,"CZ06","CZ",24053.9956803456,1671993,14554.9965412936
2010,"CZ05","CZ",20004.3196544276,1506467,13021.827695669
2011,"CZ05","CZ",20559.1966173362,1508735,13021.827695669
2011,"CZ02","CZ",18959.8308668076,1264986,11455.3709351107
2011,"CZ08","CZ",17452.4312896406,1234705,5555.11515130523
2011,"CZ07","CZ",16381.6067653277,1229117,8978.81385405196
2011,"CZ03","CZ",17469.3446088795,1207027,17250.8520221712
2011,"CZ01","CZ",43149.0486257928,1234037,235.633988113052
2011,"CZ06","CZ",25093.023255814,1675872,14554.9965412936
2011,"CZ04","CZ",14340.3805496829,1132252,8397.73887353264
2012,"CZ05","CZ",19244.8979591837,1508867,13021.827695669
2012,"CZ07","CZ",15531.6326530612,1227668,8978.81385405196
2012,"CZ03","CZ",16509.1836734694,1207847,17250.8520221712
2012,"CZ01","CZ",40753.0612244898,1241664,235.633988113052
2012,"CZ06","CZ",24347.9591836735,1678250,14554.9965412936
2012,"CZ02","CZ",18238.7755102041,1279345,11455.3709351107
2012,"CZ08","CZ",16584.693877551,1230613,5555.11515130523
2012,"CZ04","CZ",13518.3673469388,1131191,8397.73887353264
2013,"CZ05","CZ",18582.0745216516,1507980,13021.827695669
2013,"CZ07","CZ",14953.6757301108,1225302,8978.81385405196
2013,"CZ03","CZ",16286.0020140987,1209298,17250.8520221712
2013,"CZ01","CZ",39201.4098690836,1246780,235.633988113052
2013,"CZ08","CZ",15398.7915407855,1226602,5555.11515130523
2013,"CZ06","CZ",24038.2678751259,1679857,14554.9965412936
2013,"CZ02","CZ",17533.7361530715,1291816,11455.3709351107
2013,"CZ04","CZ",12860.0201409869,1128490,8397.73887353264
2014,"CZ05","CZ",18546.0921843687,1506503,13021.827695669
2014,"CZ01","CZ",37979.9599198397,1243201,235.633988113052
2014,"CZ07","CZ",15169.3386773547,1222655,8978.81385405196
2014,"CZ03","CZ",16102.2044088176,1210176,17250.8520221712
2014,"CZ08","CZ",15276.5531062124,1221832,5555.11515130523
2014,"CZ06","CZ",23566.1322645291,1680287,14554.9965412936
2014,"CZ02","CZ",17948.8977955912,1302336,11455.3709351107
2014,"CZ04","CZ",12384.7695390782,1125429,8397.73887353264
2015,"CZ05","CZ",19773,1506813,13021.827695669
2015,"CZ03","CZ",16936,1212423,17250.8520221712
2015,"CZ08","CZ",16127,1217676,5555.11515130523
2015,"CZ06","CZ",25061,1682748,14554.9965412936
2015,"CZ02","CZ",19023,1315299,11455.3709351107
2015,"CZ01","CZ",42448,1259079,235.633988113052
2015,"CZ07","CZ",15828,1220972,8978.81385405196
2015,"CZ04","CZ",13277,1123265,8397.73887353264
2016,"CZ04","CZ",13360.4766633565,1120654,8397.73887353264
2016,"CZ03","CZ",17724.9255213505,1214450,17250.8520221712
2016,"CZ01","CZ",43831.1817279047,1267449,235.633988113052
2016,"CZ05","CZ",20654.4190665343,1507209,13021.827695669
2016,"CZ07","CZ",16474.6772591857,1219394,8978.81385405196
2016,"CZ02","CZ",20293.9424031778,1326876,11455.3709351107
2016,"CZ06","CZ",25853.0287984111,1684500,14554.9965412936
2016,"CZ08","CZ",17143.9920556107,1213311,5555.11515130523
2010,"DE11","DE",171657.725321888,4000848,10664.6013481317
2010,"DE13","DE",70770.3862660944,2196018,9471.33534069007
2010,"DE23","DE",37091.2017167382,1081417,9548.20481079293
2010,"DEE0","DE",55096.5665236051,2356219,20857.4155701618
2010,"DE40","DE",60122.3175965665,2511525,30985.6211798311
2010,"DE80","DE",37520.3862660944,1651216,23582.9547920544
2010,"DE92","DE",70275.7510729614,2142440,9298.79427989597
2010,"DE12","DE",105859.442060086,2740503,6741.23287393259
2010,"DE14","DE",64710.3004291845,1807552,9437.46150677023
2010,"DE24","DE",32827.2532188841,1076400,7247.05078710998
2010,"DEF0","DE",79289.6995708154,2832027,15062.0656250025
2010,"DE50","DE",28668.4549356223,661716,455.329492667883
2010,"DE91","DE",54755.3648068669,1616720,8078.1523065869
2010,"DE93","DE",39694.2060085837,1693654,15276.1521564281
2010,"DEA1","DE",193513.948497854,5172839,5328.37377509059
2010,"DE21","DE",207776.824034335,4346465,17052.9796199813
2010,"DE25","DE",62385.1931330472,1710145,7317.5092816671
2010,"DEG0","DE",51743.5622317597,2249882,16104.6675902456
2010,"DE60","DE",101478.540772532,1774224,558.328742930618
2010,"DE72","DE",30524.678111588,1044269,5140.16814589596
2010,"DE94","DE",74385.1931330472,2476001,14468.069322659
2010,"DEA2","DE",161430.25751073,4383044,7529.72416260013
2010,"DE22","DE",39209.2274678112,1189194,10362.4333280335
2010,"DE26","DE",44148.0686695279,1321957,7977.74620267623
2010,"DE30","DE",110828.326180257,3442675,832.395982639715
2010,"DE71","DE",174986.051502146,3792941,7452.81954332157
2010,"DE73","DE",38234.9785407725,1224741,8548.09835207423
2010,"DED4","DE",35620.1716738197,1517354,6788.53297520088
2010,"DEA3","DE",76707.0815450644,2597636,7090.37154620825
2010,"DEB2","DE",13595.4935622318,513794,4489.90920432874
2010,"DE27","DE",59612.660944206,1784753,9835.00303805169
2010,"DEA4","DE",65374.4635193133,2043212,6599.07947396329
2010,"DEB3","DE",65685.6223175966,2008170,7052.99545185579
2010,"DED2","DE",40474.2489270386,1631486,7684.41570393648
2010,"DED5","DE",25892.7038626609,961838,3759.39594115679
2010,"DEC0","DE",32505.3648068669,1022585,2595.67776533525
2010,"DEB1","DE",43399.1416309013,1490711,8166.17633365739
2010,"DEA5","DE",110456.008583691,3676032,7938.42481803626
2011,"DE80","DE",37971.7277486911,1614789,23582.9547920544
2011,"DE11","DE",177254.45026178,3910637,10664.6013481317
2011,"DE93","DE",40493.1937172775,1669999,15276.1521564281
2011,"DE92","DE",72305.7591623037,2093945,9298.79427989597
2011,"DE12","DE",107654.45026178,2663588,6741.23287393259
2011,"DE91","DE",58024.0837696335,1579623,8078.1523065869
2011,"DE27","DE",61865.9685863874,1778244,9835.00303805169
2011,"DE13","DE",73084.8167539267,2142723,9471.33534069007
2011,"DE60","DE",100389.528795812,1705700,558.328742930618
2011,"DE94","DE",76178.0104712042,2435261,14468.069322659
2011,"DE14","DE",67090.0523560209,1761557,9437.46150677023
2011,"DE40","DE",60460.7329842932,2461242,30985.6211798311
2011,"DE26","DE",46254.4502617801,1302144,7977.74620267623
2011,"DE30","DE",113238.743455497,3278346,832.395982639715
2011,"DE50","DE",28968.5863874346,651467,455.329492667883
2011,"DE71","DE",177095.287958115,3734199,7452.81954332157
2011,"DEA1","DE",195469.109947644,5081231,5328.37377509059
2011,"DE21","DE",217499.476439791,4313946,17052.9796199813
2011,"DE23","DE",38510.9947643979,1071424,9548.20481079293
2011,"DEE0","DE",54494.2408376963,2297386,20857.4155701618
2011,"DEG0","DE",53373.8219895288,2195344,16104.6675902456
2011,"DE24","DE",33902.6178010471,1065322,7247.05078710998
2011,"DE72","DE",31063.8743455497,1027159,5140.16814589596
2011,"DEA2","DE",162924.607329843,4282911,7529.72416260013
2011,"DE22","DE",40788.4816753927,1172475,10362.4333280335
2011,"DE73","DE",38518.3246073298,1208050,8548.09835207423
2011,"DEF0","DE",80206.2827225131,2800134,15062.0656250025
2011,"DED5","DE",26947.6439790576,966434,3759.39594115679
2011,"DE25","DE",64289.0052356021,1679849,7317.5092816671
2011,"DED4","DE",36308.9005235602,1505254,6788.53297520088
2011,"DEA3","DE",77983.2460732984,2568358,7090.37154620825
2011,"DEA5","DE",112624.083769634,3581355,7938.42481803626
2011,"DEB3","DE",66864.9214659686,1989471,7052.99545185579
2011,"DEA4","DE",67526.7015706806,2031337,6599.07947396329
2011,"DEB1","DE",44252.3560209424,1486160,8166.17633365739
2011,"DED2","DE",40943.4554973822,1594568,7684.41570393648
2011,"DEB2","DE",14126.7015706806,518554,4489.90920432874
